,sigma,force,rmodav,rmodsqd,dmax
,0.060,0.980,0.9999400,0.0000000,0.0000000
,0.060,1.000,0.9999403,0.0000000,0.0000000
,0.060,1.020,0.9999405,0.0000000,0.0000000
,0.060,1.040,0.9999408,0.0000000,0.0000000
,0.060,1.060,0.9999410,0.0000000,0.0000000
,0.060,1.080,0.9999413,0.0000000,0.0000000
,0.060,1.100,0.9999416,0.0000000,0.0000000
,0.060,1.120,0.9999418,0.0000000,0.0000000
,0.060,1.140,0.9999421,0.0000000,0.0000000
,0.060,1.160,0.9999423,0.0000000,0.0000000
,0.060,1.180,0.9999426,0.0000000,0.0000000
,0.060,1.200,0.9999428,0.0000000,0.0000000
,0.060,1.220,0.9999431,0.0000000,0.0000000
,0.060,1.240,0.9999433,0.0000000,0.0000000
,0.060,1.260,0.9999436,0.0000000,0.0000000
,0.060,1.280,0.9999438,0.0000000,0.0000000
,0.060,1.300,0.9999441,0.0000000,0.0000000
,0.060,1.320,0.9999443,0.0000000,0.0000000
,0.060,1.340,0.9999445,0.0000000,0.0000000
,0.060,1.360,0.9999448,0.0000000,0.0000000
,0.060,1.380,0.9999450,0.0000000,0.0000000
,0.060,1.400,0.9999452,0.0000000,0.0000000
,0.060,1.420,0.9999455,0.0000000,0.0000000
,0.060,1.440,0.9999457,0.0000000,0.0000000
,0.060,1.460,0.9999459,0.0000000,0.0000000
,0.060,1.480,0.9999462,0.0000000,0.0000000
,0.060,1.500,0.9999464,0.0000000,0.0000000
,0.060,1.520,0.9999466,0.0000000,0.0000000
,0.060,1.540,0.9999468,0.0000000,0.0000000
,0.060,1.560,0.9999471,0.0000000,0.0000000
,0.060,1.580,0.9999473,0.0000000,0.0000000
,0.060,1.600,0.9999475,0.0000000,0.0000000
,0.060,1.620,0.9999477,0.0000000,0.0000000
,0.060,1.640,0.9999479,0.0000000,0.0000000
,0.060,1.660,0.9999482,0.0000000,0.0000000
,0.060,1.680,0.9999484,0.0000000,0.0000000
,0.060,1.700,0.9999486,0.0000000,0.0000000
,0.060,1.720,0.9999488,0.0000000,0.0000000
,0.060,1.740,0.9999490,0.0000000,0.0000000
,0.060,1.760,0.9999492,0.0000000,0.0000000
,0.060,1.780,0.9999494,0.0000000,0.0000000
,0.060,1.800,0.9999496,0.0000000,0.0000000
,0.060,1.820,0.9999498,0.0000000,0.0000000
,0.060,1.840,0.9999500,0.0000000,0.0000000
,0.060,1.860,0.9999502,0.0000000,0.0000000
,0.060,1.880,0.9999504,0.0000000,0.0000000
,0.060,1.900,0.9999506,0.0000000,0.0000000
,0.060,1.920,0.9999508,0.0000000,0.0000000
,0.060,1.940,0.9999510,0.0000000,0.0000000
,0.060,1.960,0.9999512,0.0000000,0.0000000
,0.060,1.980,0.9999514,0.0000000,0.0000000
,0.060,2.000,0.9999516,0.0000000,0.0000000
,0.080,0.000,0.0016456,0.5111702,0.0013511
,0.080,0.020,0.0150464,0.1090505,0.0015071
,0.080,0.040,0.0288387,0.0537635,0.0018772
,0.080,0.060,0.0443306,0.0428721,0.0021817
,0.080,0.080,0.0602261,0.0742659,0.0050015
,0.080,0.100,0.0821105,0.0814800,0.0071790
,0.080,0.120,0.1062731,0.0749588,0.0119461
,0.080,0.140,0.1317399,0.1213035,0.0151691
,0.080,0.160,0.9999270,0.0000000,0.0000000
,0.080,0.180,0.9999274,0.0000000,0.0000000
,0.080,0.200,0.9999278,0.0000000,0.0000000
,0.080,0.220,0.9999281,0.0000000,0.0000000
,0.080,0.240,0.9999285,0.0000000,0.0000000
,0.080,0.260,0.9999289,0.0000000,0.0000000
,0.080,0.280,0.9999292,0.0000000,0.0000000
,0.080,0.300,0.9999296,0.0000000,0.0000000
,0.080,0.320,0.9999299,0.0000000,0.0000000
,0.080,0.340,0.9999303,0.0000000,0.0000000
,0.080,0.360,0.9999306,0.0000000,0.0000000
,0.080,0.380,0.9999310,0.0000000,0.0000000
,0.080,0.400,0.9999313,0.0000000,0.0000000
,0.080,0.420,0.9999316,0.0000000,0.0000000
,0.080,0.440,0.9999320,0.0000000,0.0000000
,0.080,0.460,0.9999323,0.0000000,0.0000000
,0.080,0.480,0.9999326,0.0000000,0.0000000
,0.080,0.500,0.9999329,0.0000000,0.0000000
,0.080,0.520,0.9999333,0.0000000,0.0000000
,0.080,0.540,0.9999336,0.0000000,0.0000000
,0.080,0.560,0.9999339,0.0000000,0.0000000
,0.080,0.580,0.9999342,0.0000000,0.0000000
,0.080,0.600,0.9999345,0.0000000,0.0000000
,0.080,0.620,0.9999348,0.0000000,0.0000000
,0.080,0.640,0.9999351,0.0000000,0.0000000
,0.080,0.660,0.9999354,0.0000000,0.0000000
,0.080,0.680,0.9999357,0.0000000,0.0000000
,0.080,0.700,0.9999360,0.0000000,0.0000000
,0.080,0.720,0.9999363,0.0000000,0.0000000
,0.080,0.740,0.9999366,0.0000000,0.0000000
,0.080,0.760,0.9999369,0.0000000,0.0000000
,0.080,0.780,0.9999372,0.0000000,0.0000000
,0.080,0.800,0.9999375,0.0000000,0.0000000
,0.080,0.820,0.9999378,0.0000000,0.0000000
,0.080,0.840,0.9999380,0.0000000,0.0000000
,0.080,0.860,0.9999383,0.0000000,0.0000000
,0.080,0.880,0.9999386,0.0000000,0.0000000
,0.080,0.900,0.9999389,0.0000000,0.0000000
,0.080,0.920,0.9999392,0.0000000,0.0000000
,0.080,0.940,0.9999394,0.0000000,0.0000000
,0.080,0.960,0.9999397,0.0000000,0.0000000
,0.080,0.980,0.9999400,0.0000000,0.0000000
,0.080,1.000,0.9999402,0.0000000,0.0000000
,0.080,1.020,0.9999405,0.0000000,0.0000000
,0.080,1.040,0.9999408,0.0000000,0.0000000
,0.080,1.060,0.9999410,0.0000000,0.0000000
,0.080,1.080,0.9999413,0.0000000,0.0000000
,0.080,1.100,0.9999416,0.0000000,0.0000000
,0.080,1.120,0.9999418,0.0000000,0.0000000
,0.080,1.140,0.9999421,0.0000000,0.0000000
,0.080,1.160,0.9999423,0.0000000,0.0000000
,0.080,1.180,0.9999426,0.0000000,0.0000000
,0.080,1.200,0.9999428,0.0000000,0.0000000
,0.080,1.220,0.9999431,0.0000000,0.0000000
,0.080,1.240,0.9999433,0.0000000,0.0000000
,0.080,1.260,0.9999436,0.0000000,0.0000000
,0.080,1.280,0.9999438,0.0000000,0.0000000
